CDate	cell_name	CELL	bcchno	bsic	TCH	tchnum
2015-12-23 00:00:00	爱地d1	31DA031	590	44	590,517,519,547,563,569,581,605,529	9
2015-12-23 00:00:00	爱地d2	31DA032	572	62	572,575,608,611,540,614	6
2015-12-23 00:00:00	爱地m1	31GA011	76	43	76,8,13,22,32,47,61,67,79,44	10
2015-12-23 00:00:00	爱地m2	31GA012	74	55	74,1,5,17,20,41,55,83,90,30	10
2015-12-23 00:00:00	爱地m3	31GA013	72	10	72,10,26,39,49,53,57,87,1021,36	10
2015-12-23 00:00:00	爱地大厦m1	31GA021	94	30	94,17,51,81,91,23,33	7
2015-12-23 00:00:00	爱地大厦m2	31GA022	60	53	60,8,15,25,49,53,65,83,89,30,36	11
2015-12-23 00:00:00	爱国d1	47DH021	580	73	580,516,559,577,589,599,605,618,525,528,546,552	12
2015-12-23 00:00:00	爱国d2	47DH022	564	66	564,512,571,522,531,534,540,543	8
2015-12-23 00:00:00	爱国d3	47DH023	566	13	566,623,537,555	4
2015-12-23 00:00:00	爱国m1	47GH021	80	63	80,7,15,22,83,86,92,1020,39,69	10
2015-12-23 00:00:00	爱国m2	47GH022	78	15	78,2,5,34,37,47,63,67,71,89,19,1022	12
2015-12-23 00:00:00	爱国m3	47GH023	60	23	60,45,73,95,30,49	6
2015-12-23 00:00:00	爱联d1	55DD021	566	30	566,529,547,551,557,575,589,614,620,532,628,632	12
2015-12-23 00:00:00	爱联d2	55DD022	568	23	568,518,563,571,587,595,605,616,622,523	10
2015-12-23 00:00:00	爱联d3	55DD023	602	6	602,514,561,579,583,593,599,608,630,535	10
2015-12-23 00:00:00	爱联m1	55GD061	80	61	80,4,21,24	4
2015-12-23 00:00:00	爱联m2	55GD062	72	70	72,61,75,18,38,47	6
2015-12-23 00:00:00	爱联m3	55GD063	94	62	94,85,35,44	4
2015-12-23 00:00:00	爱榕m1	35GA441	84	22	84,5,8,92,24,39,57,61	8
2015-12-23 00:00:00	爱榕m2	35GA442	72	34	72,14,89,95	4
2015-12-23 00:00:00	爱榕m3	35GA443	76	35	76,3,11,67,21,26,33,35	8
2015-12-23 00:00:00	安华d1	16DB251	578	2	578,515,617,626,530,538	6
2015-12-23 00:00:00	安华d2	16DB252	602	74	602,517,544,612,622,536	6
