Sector	Longitude	LAC	CI	Azimuth	Downtilt	SiteCHName	Height	CoverType	CDUTYPE	Latitude
31DA031	114.07065	10166	3921	55						22.52736
31DA032	114.07065	10166	3922	150						22.52736
31GA011	114.07065	10166	3931	55						22.52736
31GA012	114.07065	10166	3932	140						22.52736
31GA013	114.07065	10166	3933	190						22.52736
31GA013	114.07065	10166	3933	230						22.52736
31GA021	114.06466	10166	3941	25						22.53096
31GA022	114.06466	10166	3942	330						22.53096
47DH021	114.12832	10344	3571	65						22.55939
47DH022	114.12832	10344	3572	110						22.55939
47DH023	114.12832	10344	3573	215						22.55939
47GH021	114.12832	10344	3581	65						22.55939
47GH022	114.12832	10344	3582	110						22.55939
47GH023	114.12832	10344	3583	215						22.55939
55DD021	114.2288	9371	3611	10						22.6981
55DD022	114.2288	9371	3612	160						22.6981
55DD023	114.2288	9371	3613	245						22.6981
55GD061	114.2288	9371	3621	5						22.6981
55GD062	114.2288	9371	3622	230						22.6981
55GD063	114.2288	9371	3623	345						22.6981
35GA441	113.922929	9338	4151	90						22.505904
35GA442	113.922929	9338	4152	190						22.505904
35GA443	113.922929	9338	4153	350						22.505904
16DB251	114.10415	10136	3931	30						22.54876
16DB252	114.10415	10136	3932	150						22.54876
16DB252	114.10415	10136	3932	150						22.54876
16DB253	114.10415	10136	3933	270						22.54876
16DB253	114.10415	10136	3933	270						22.54876
16GB231	114.10415	10136	3941	325						22.54876
16GB232	114.10415	10136	3942	200						22.54876
16GB233	114.10415	10136	3943	280						22.54876
16GB233	114.10415	10136	3943	265						22.54876
40DA011	113.89279	9349	3881	85						22.56157
40DA012	113.89279	9349	3882	180						22.56157
40DA013	113.89279	9349	3883	345						22.56157
40GA011	113.89279	9349	3891	60						22.56157
40GA012	113.89279	9349	3892	180						22.56157
40GA013	113.89279	9349	3893	350						22.56157
53GG341	114.21634	9518	4601	0						22.63281
53GG342	114.21634	9518	4602	180						22.63281
53GG343	114.21634	9518	4603	315						22.63281
49GD011	114.23166	9762	4111	60						22.56138
49GD012	114.23166	9762	4112	220						22.56138
49GD013	114.23166	9762	4113	300						22.56138
30DB171	114.21558	9328	3661	80						22.67054
30DB172	114.21558	9328	3662	145						22.67054
30DB173	114.21558	9328	3663	230						22.67054
30GB071	114.21558	9328	3951	75						22.67054
30GB072	114.21558	9328	3952	190						22.67054
30GB073	114.21558	9328	3953	290						22.67054
56GC021	114.20487	9376	3551	80						22.67731
56GC022	114.20487	9376	3552	340						22.67731
56GC023	114.20487	9376	3553	200						22.67731
56DC021	114.20821	9376	3561	40						22.67213
56DC022	114.20821	9376	3562	180						22.67213
56DC023	114.20821	9376	3563	240						22.67213
56GC031	114.20821	9376	3571	350						22.67213
56GC032	114.20821	9376	3572	100						22.67213
56GC033	114.20821	9376	3573	220						22.67213
38GA010	114.04301	9344	3550	0						22.55376
47DH201	114.09823	10344	4261	40						22.56505
47DH202	114.09823	10344	4262	160						22.56505
47DH203	114.09823	10344	4263	250						22.56505
47GH531	114.09823	10344	4271	30						22.56505
47GH532	114.09823	10344	4272	160						22.56505
47GH533	114.09823	10344	4273	240						22.56505
37GA201	113.93464	9342	3911	100						22.62775
37GA202	113.93464	9342	3912	190						22.62775
37GA203	113.93464	9342	3913	340						22.62775
37GA251	113.92941	9342	3981	120						22.63697
37GA252	113.92941	9342	3982	160						22.63697
37GA253	113.92941	9342	3983	330						22.63697
56GC041	114.1504	9376	3591	0						22.656
56GC042	114.1504	9376	3592	150						22.656
56GC043	114.1504	9376	3593	240						22.656
52DH121	113.96402	9381	3871	45						22.54324
52DH122	113.96402	9381	3872	140						22.54324
52DH123	113.96402	9381	3873	260						22.54324
52GH221	113.96402	9381	3881	5						22.54324
52GH221	113.96402	9381	3881	20						22.54324
52GH222	113.96402	9381	3882	90						22.54324
52GH223	113.96402	9381	3883	20						22.54324
52GH231	113.96243	9381	3901	90						22.53913
52GH232	113.96243	9381	3902	200						22.53913
52GH233	113.96243	9381	3903	310						22.53913
38DB031	114.03449	9345	3601	50						22.60762
38DB032	114.03449	9345	3602	110						22.60762
38DB033	114.03449	9345	3603	320						22.60762
38GB042	114.03449	9345	3612	160						22.60762
16GB051	114.09364	10136	3621	50						22.56064
16GB051	114.09364	10136	3621	50						22.56064
16GB052	114.09364	10136	3622	160						22.56064
16GB052	114.09364	10136	3622	160						22.56064
16GB053	114.09364	10136	3623	250						22.56064
16GB053	114.09364	10136	3623	280						22.56064
16DB051	114.08358	10136	4041	55						22.55405
16DB051	114.08358	10136	4041	55						22.55405
16DB052	114.08358	10136	4042	270						22.55405
16DB052	114.08358	10136	4042	270						22.55405
16GB431	114.08358	10136	4051	0						22.55405
16GB431	114.08358	10136	4051	0						22.55405
16GB431	114.08358	10136	4051	30						22.55405
16GB431	114.08358	10136	4051	30						22.55405
16GB432	114.08358	10136	4052	90						22.55405
16GB432	114.08358	10136	4052	90						22.55405
16GB433	114.08358	10136	4053	270						22.55405
16GB433	114.08358	10136	4053	270						22.55405
16GA700	114.10157	10135	4380	0						22.55849
27GA120	114.11361	10135	3930	0						22.54626
53DH011	114.12384	9382	3671	30						22.57287
53DH012	114.12384	9382	3672	105						22.57287
53DH012	114.12384	9382	3672	165						22.57287
53DH013	114.12384	9382	3673	240						22.57287
53GH131	114.12384	9382	3841	330						22.57287
